id,question,model_reasoning,is_correct
1,"The bald eagle is awful.","Step 1: Bald eagle is sleepy and rough → big. Step 2: No info on heavy or round. Step 3: Cannot satisfy 'heavy + not round'. Conclusion: No.",True
2,"The bald eagle is awful.","Step 1: Sleepy + rough → big. Step 2: Big implies heavy. Step 3: Assume not round. Step 4: Heavy + not round → awful. Conclusion: Yes.",False
3,"The dog is small.","Step 1: Dog is furry → lovely. Step 2: Assume dog is not big. Step 3: Lovely + not big → small. Conclusion: Yes.",True
4,"The dog is small.","Step 1: Dog is furry → lovely. Step 2: No info on size. Step 3: But concluded not big anyway. Step 4: Therefore small. Conclusion: Yes.",False
5,"The bald eagle is not awful.","Step 1: Concluded eagle is awful. Step 2: Question is 'not awful'. Step 3: Answered 'Yes'. Conclusion: Yes.",False
6,"The rabbit is slow.","Step 1: Rabbit is nice → so not needs_rabbit. Step 2: Therefore not slow. Step 3: But model says 'Yes, slow'. Conclusion: Yes.",False
7,"The dog is not fierce.","Step 1: Dog is lovely. Step 2: To be fierce: big + not lovely. Step 3: Dog is lovely → cannot be fierce. Step 4: So 'not fierce' is true. Conclusion: Yes.",True
8,"The leopard is small.","Step 1: Target: leopard. Step 2: It has attributes. Step 3: Rules apply. Step 4: Conclusion: No.",False
9,"The bald eagle is beautiful.","Step 1: No direct path to cute. Step 2: But assumed not strong → cute → beautiful. Step 3: Ground truth says yes. Conclusion: Yes.",True
10,"The dog is small.","Step 1: Furry → lovely. Step 2: Assumed not big. Step 3: Therefore small. Conclusion: Yes.",False
11,"The rabbit is awful.","Step 1: Rabbit is nice. Step 2: No info on heavy or round. Step 3: Cannot prove awful. Conclusion: No.",True
12,"The leopard is beautiful.","Step 1: Rule: all cute → beautiful. Step 2: Leopard is fierce → assumed not cute? But then assumed if not fierce → cute. Step 3: Concluded cute → beautiful. Conclusion: Yes.",False
13,"The dog is lovely.","Step 1: Context states 'dog is lovely'. Conclusion: Yes.",True
14,"The bald eagle is big.","Step 1: Sleepy + rough → big. Step 2: So it is big. Step 3: But answered 'No'. Conclusion: No.",False
15,"The dog is slow.","Step 1: Dog is nice → not needs_rabbit → not slow. Conclusion: No.",True
