nohup: ignoring input
2026-04-21 22:15:20,487 - INFO - Reading parquet: data/csqa_1k.parquet
2026-04-21 22:15:20,556 - INFO - Total questions: 1000
2026-04-21 22:15:20,556 - INFO - Loading model: /home2/zzl/model/Qwen3-8B...
2026-04-21 22:15:21,444 - INFO - We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:06,  1.56s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:04,  1.52s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:04<00:02,  1.49s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:05<00:01,  1.38s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:06<00:00,  1.04s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:06<00:00,  1.23s/it]
Device set to use cuda:0
2026-04-21 22:15:27,662 - INFO - Starting fresh generation...
2026-04-21 22:22:44,056 - INFO - Progress: 1/1000 | Q: Bill sits down on a whoopee cushion, what sound do... | GT: B
You seem to be using the pipelines sequentially on GPU. In order to maximize efficiency please use a dataset
2026-04-21 22:27:56,833 - INFO - Progress: 2/1000 | Q: What is likely heard by those going to a party?... | GT: C
2026-04-21 22:32:34,554 - INFO - Progress: 3/1000 | Q: A handsome prince is a stock character common to w... | GT: B
2026-04-21 22:40:50,500 - INFO - Progress: 4/1000 | Q: What covers the largest percentage of the pacific ... | GT: B
2026-04-21 22:46:03,767 - INFO - Progress: 5/1000 | Q: When black and white balls are kicked with feet wh... | GT: E
2026-04-21 22:54:15,578 - INFO - Progress: 6/1000 | Q: A snake is not something you want to come across o... | GT: A
2026-04-21 23:00:16,563 - INFO - Progress: 7/1000 | Q: If someone had been smoking, an easy way to tell w... | GT: E
2026-04-21 23:08:08,811 - INFO - Progress: 8/1000 | Q: Billy was smart but inexperienced.  In many ways h... | GT: C
2026-04-21 23:15:27,494 - INFO - Progress: 9/1000 | Q: Where can someone find a shiny advertisement?... | GT: A
2026-04-21 23:23:41,347 - INFO - Progress: 10/1000 | Q: The only thing left of the ancient giants lizards ... | GT: D
2026-04-21 23:28:03,361 - INFO - Progress: 11/1000 | Q: He sat down at the table to play poker, to join th... | GT: E
